"Freq [GHz]","dB(S(FloquetPort1:1,FloquetPort1:1)) []","dB(S(FloquetPort2:1,FloquetPort1:1)) []"
47.6,-0.00240082211450712,-inf
47.7,-0.00241976748552966,-inf
47.8,-0.0024386484460457,-inf
47.9,-0.00245747398880664,-inf
48,-0.00247625559299839,-inf
48.1,-0.00249500723994633,-inf
48.2,-0.0025137454076696,-inf
48.3,-0.0025324890442073,-inf
48.4,-0.00255125951841033,-inf
48.5,-0.00257008054826735,-inf
48.6,-0.0025889781062263,-inf
48.7,-0.0026079803019725,-inf
48.8,-0.00262711724253593,-inf
48.9,-0.0026464208707634,-inf
49,-0.00266592478178328,-inf
49.1,-0.00268566401977373,-inf
49.2,-0.00270567485548289,-inf
49.3,-0.00272599454583761,-inf
49.4,-0.00274666107819893,-inf
49.5,-0.00276771290040582,-inf
49.6,-0.00278918863954051,-inf
49.7,-0.00281112681165874,-inf
49.8,-0.0028335655255548,-inf
49.9,-0.00285654218361422,-inf
50,-0.00288009318293007,-inf
50.1,-0.00290425362056798,-inf
50.2,-0.00292905700699821,-inf
50.3,-0.00295453499134066,-inf
50.4,-0.0029807171030026,-inf
50.5,-0.00300763051444532,-inf
50.6,-0.00303529982970784,-inf
50.7,-0.00306374690355831,-inf
50.8,-0.00309299069596142,-inf
50.9,-0.00312304716825687,-inf
51,-0.00315392922535397,-inf
51.1,-0.00318564670938378,-inf
51.2,-0.00321820645154348,-inf
51.3,-0.00325161238642246,-inf
51.4,-0.00328586573612408,-inf
51.5,-0.00332096526803078,-inf
51.6,-0.00335690763487496,-inf
51.7,-0.0033936878006302,-inf
51.8,-0.00343129956088251,-inf
51.9,-0.00346973616217122,-inf
52,-0.00350899102907413,-inf
52.1,-0.00354905860539419,-inf
52.2,-0.00358993531724698,-inf
52.3,-0.003631620668058,-inf
52.4,-0.00367411847429579,-inf
52.5,-0.00371743825379199,-inf
52.6,-0.00376159678103876,-inf
52.7,-0.00380661982415807,-inf
52.8,-0.00385254408528823,-inf
52.9,-0.00389941936667722,-inf
53,-0.00394731099582168,-inf
53.1,-0.00399630254636154,-inf
53.2,-0.00404649890577487,-inf
53.3,-0.00409802975247695,-inf
53.4,-0.00415105352749422,-inf
53.5,-0.00420576200498171,-inf
53.6,-0.00426238560563279,-inf
53.7,-0.00432119963756101,-inf
53.8,-0.00438253171223228,-inf
53.9,-0.00444677066302261,-inf
54,-0.00451437741186173,-inf
54.1,-0.00458589838172571,-inf
54.2,-0.00466198227728249,-inf
54.3,-0.00474340136622372,-inf
54.4,-0.00483107884276305,-inf
54.5,-0.00492612450677105,-inf
54.6,-0.0050298819539671,-inf
54.7,-0.00514399191631384,-inf
