"Freq [GHz]","ReflectanceTM []"
30,0.999309018466158
30.01,0.999297557374998
30.02,0.999286319880814
30.03,0.999275303717308
30.04,0.999264506627702
30.05,0.999253926364802
30.06,0.999243560690988
30.07,0.999233407378304
30.08,0.999223464208433
30.09,0.999213728972745
30.1,0.999204199472338
30.11,0.999194873518037
30.12,0.999185748930469
30.13,0.999176823540047
30.14,0.999168095186999
30.15,0.999159561721422
30.16,0.999151221003294
30.17,0.999143070902485
30.18,0.999135109298806
30.19,0.999127334082033
30.2,0.999119743151899
30.21,0.999112334418137
30.22,0.999105105800524
30.23,0.999098055228857
30.24,0.999091180643045
30.25,0.999084479993041
30.26,0.999077951238938
30.27,0.999071592350957
30.28,0.999065401309444
30.29,0.999059376104956
30.3,0.999053514738213
30.31,0.999047815220159
30.32,0.999042275571944
30.33,0.999036893825003
30.34,0.999031668020987
30.35,0.99902659621185
30.36,0.999021676459825
30.37,0.999016906837468
30.38,0.999012285427672
30.39,0.999007810323633
30.4,0.999003479628925
30.41,0.998999291457486
30.42,0.998995243933644
30.43,0.998991335192103
30.44,0.998987563377984
30.45,0.998983926646811
30.46,0.998980423164565
30.47,0.998977051107629
30.48,0.998973808662875
30.49,0.998970694027598
30.5,0.998967705409587
30.51,0.998964841027112
30.52,0.998962099108904
30.53,0.998959477894213
30.54,0.998956975632788
30.55,0.998954590584868
30.56,0.998952321021216
30.57,0.99895016522315
30.58,0.998948121482458
30.59,0.998946188101505
30.6,0.998944363393172
30.61,0.998942645680902
30.62,0.998941033298648
30.63,0.998939524590945
30.64,0.998938117912869
30.65,0.998936811630041
30.66,0.998935604118651
30.67,0.998934493765433
30.68,0.998933478967699
30.69,0.998932558133312
30.7,0.998931729680675
30.71,0.998930992038773
30.72,0.998930343647141
30.73,0.998929782955879
30.74,0.998929308425634
30.75,0.998928918527594
30.76,0.998928611743531
30.77,0.998928386565727
30.78,0.998928241497039
30.79,0.998928175050854
30.8,0.998928185751083
30.81,0.998928272132192
30.82,0.998928432739145
30.83,0.998928666127458
30.84,0.998928970863137
30.85,0.998929345522703
30.86,0.998929788693197
30.87,0.998930298972116
30.88,0.998930874967485
30.89,0.998931515297774
30.9,0.99893221859195
30.91,0.998932983489419
30.92,0.998933808640055
30.93,0.99893469270417
30.94,0.998935634352496
30.95,0.998936632266188
30.96,0.998937685136833
30.97,0.998938791666398
30.98,0.998939950567245
30.99,0.998941160562083
31,0.998942420384035
31.01,0.998943728776532
31.02,0.998945084493338
31.03,0.99894648629858
31.04,0.998947932966643
31.05,0.998949423282244
31.06,0.998950956040354
31.07,0.998952530046227
31.08,0.998954144115339
31.09,0.998955797073408
31.1,0.998957487756387
31.11,0.998959215010392
31.12,0.998960977691741
31.13,0.998962774666911
31.14,0.998964604812527
31.15,0.998966467015336
31.16,0.998968360172182
31.17,0.998970283190036
31.18,0.998972234985881
31.19,0.998974214486806
31.2,0.998976220629889
31.21,0.998978252362235
31.22,0.998980308640957
31.23,0.998982388433088
31.24,0.998984490715635
31.25,0.998986614475543
31.26,0.998988758709628
31.27,0.998990922424609
31.28,0.998993104637043
31.29,0.998995304373334
31.3,0.998997520669689
31.31,0.998999752572112
31.32,0.99900199913635
31.33,0.999004259427898
31.34,0.999006532521965
31.35,0.999008817503439
31.36,0.99901111346688
31.37,0.999013419516477
31.38,0.999015734766041
31.39,0.999018058338942
31.4,0.999020389368144
31.41,0.999022726996092
31.42,0.999025070374786
