"Freq [GHz]","ReflectanceTM []"
30,0.999875342239132
30.01,0.999875054353467
30.02,0.99987477261147
30.03,0.999874496895664
30.04,0.999874227089894
30.05,0.999873963079377
30.06,0.999873704750614
30.07,0.999873451991471
30.08,0.999873204691105
30.09,0.999872962739965
30.1,0.999872726029811
30.11,0.999872494453663
30.12,0.999872267905842
30.13,0.99987204628192
30.14,0.999871829478706
30.15,0.999871617394275
30.16,0.999871409927935
30.17,0.99987120698021
30.18,0.999871008452848
30.19,0.999870814248823
30.2,0.99987062427228
30.21,0.999870438428556
30.22,0.999870256624185
30.23,0.999870078766868
30.24,0.999869904765457
30.25,0.999869734529975
30.26,0.999869567971585
30.27,0.999869405002578
30.28,0.999869245536385
30.29,0.999869089487534
30.3,0.999868936771687
30.31,0.999868787305594
30.32,0.999868641007105
30.33,0.999868497795132
30.34,0.999868357589698
30.35,0.999868220311864
30.36,0.999868085883758
30.37,0.999867954228547
30.38,0.999867825270465
30.39,0.999867698934741
30.4,0.999867575147663
30.41,0.99986745383651
30.42,0.999867334929574
30.43,0.999867218356167
30.44,0.999867104046542
30.45,0.999866991931977
30.46,0.999866881944721
30.47,0.999866774017962
30.48,0.999866668085871
30.49,0.999866564083556
30.5,0.999866461947064
30.51,0.999866361613378
30.52,0.999866263020411
30.53,0.999866166106994
30.54,0.999866070812852
30.55,0.999865977078632
30.56,0.999865884845849
30.57,0.999865794056926
30.58,0.999865704655148
30.59,0.999865616584697
30.6,0.999865529790567
30.61,0.99986544421866
30.62,0.999865359815683
30.63,0.999865276529197
30.64,0.999865194307624
30.65,0.999865113100151
30.66,0.999865032856823
30.67,0.999864953528486
30.68,0.999864875066788
30.69,0.999864797424162
30.7,0.999864720553823
30.71,0.999864644409777
30.72,0.999864568946818
30.73,0.999864494120451
30.74,0.99986441988701
30.75,0.999864346203525
30.76,0.999864273027781
30.77,0.999864200318307
30.78,0.999864128034348
30.79,0.999864056135892
30.8,0.999863984583627
30.81,0.999863913338937
30.82,0.999863842363923
30.83,0.999863771621393
30.84,0.999863701074802
30.85,0.999863630688319
30.86,0.999863560426777
30.87,0.999863490255654
30.88,0.999863420141125
30.89,0.999863350049988
30.9,0.999863279949697
30.91,0.999863209808354
30.92,0.999863139594675
30.93,0.999863069278017
30.94,0.999862998828354
30.95,0.999862928216262
30.96,0.999862857412955
30.97,0.999862786390196
30.98,0.999862715120402
30.99,0.999862643576518
31,0.999862571732124
31.01,0.999862499561326
31.02,0.99986242703885
31.03,0.999862354139924
31.04,0.999862280840394
31.05,0.999862207116623
31.06,0.999862132945505
31.07,0.99986205830451
31.08,0.999861983171607
31.09,0.999861907525316
31.1,0.99986183134465
31.11,0.999861754609161
31.12,0.999861677298885
31.13,0.999861599394398
31.14,0.999861520876721
31.15,0.999861441727418
31.16,0.9998613619285
31.17,0.999861281462466
31.18,0.999861200312306
31.19,0.999861118461466
31.2,0.999861035893835
31.21,0.999860952593789
31.22,0.999860868546149
31.23,0.999860783736176
31.24,0.999860698149553
31.25,0.999860611772429
31.26,0.999860524591374
31.27,0.999860436593366
31.28,0.999860347765827
31.29,0.999860258096566
31.3,0.999860167573808
31.31,0.999860076186213
31.32,0.99985998392278
31.33,0.999859890772939
31.34,0.99985979672652
31.35,0.999859701773695
31.36,0.999859605905039
31.37,0.999859509111497
31.38,0.999859411384378
31.39,0.99985931271534
31.4,0.999859213096435
31.41,0.999859112520034
31.42,0.999859010978864
31.43,0.999858908466008
31.44,0.999858804974858
31.45,0.999858700499172
31.46,0.999858595033017
31.47,0.99985848857079
31.48,0.9998583811072
31.49,0.999858272637291
31.5,0.999858163156393
31.51,0.99985805266015
31.52,0.999857941144527
31.53,0.999857828605742
31.54,0.999857715040347
31.55,0.999857600445162
31.56,0.99985748481729
31.57,0.999857368154124
31.58,0.99985725045331
31.59,0.999857131712796
31.6,0.999857011930767
31.61,0.999856891105673
31.62,0.999856769236264
31.63,0.999856646321468
31.64,0.999856522360529
31.65,0.99985639735291
31.66,0.999856271298315
31.67,0.999856144196671
31.68,0.999856016048182
31.69,0.999855886853234
31.7,0.999855756612468
31.71,0.999855625326727
31.72,0.999855492997088
31.73,0.999855359624833
31.74,0.999855225211465
31.75,0.999855089758656
31.76,0.999854953268348
31.77,0.999854815742617
31.78,0.99985467718376
31.79,0.999854537594268
31.8,0.999854396976825
31.81,0.999854255334277
31.82,0.999854112669683
31.83,0.999853968986232
31.84,0.999853824287345
31.85,0.99985367857657
31.86,0.99985353185763
31.87,0.999853384134439
31.88,0.999853235411017
31.89,0.999853085691586
31.9,0.999852934980525
31.91,0.999852783282321
31.92,0.999852630601645
31.93,0.999852476943296
31.94,0.999852322312216
31.95,0.999852166713485
31.96,0.999852010152319
31.97,0.999851852634062
31.98,0.999851694164181
31.99,0.999851534748276
32,0.999851374392079
32.01,0.999851213101409
32.02,0.999851050882228
32.03,0.999850887740612
32.04,0.999850723682728
32.05,0.99985055871485
32.06,0.999850392843391
32.07,0.999850226074831
32.08,0.999850058415744
32.09,0.999849889872828
32.1,0.999849720452865
32.11,0.999849550162718
32.12,0.999849379009342
32.13,0.999849206999776
32.14,0.99984903414116
32.15,0.999848860440672
32.16,0.999848685905603
32.17,0.999848510543324
32.18,0.99984833436125
32.19,0.999848157366873
32.2,0.99984797956777
32.21,0.999847800971564
32.22,0.999847621585958
32.23,0.999847441418693
32.24,0.999847260477587
32.25,0.999847078770507
32.26,0.999846896305361
32.27,0.999846713090134
32.28,0.999846529132838
32.29,0.999846344441526
32.3,0.99984615902433
32.31,0.999845972889391
32.32,0.99984578604489
32.33,0.999845598499072
32.34,0.999845410260188
32.35,0.999845221336542
32.36,0.999845031736463
32.37,0.999844841468307
32.38,0.999844650540464
32.39,0.999844458961334
32.4,0.999844266739372
32.41,0.999844073883017
32.42,0.999843880400739
32.43,0.999843686301053
32.44,0.999843491592461
32.45,0.999843296283477
32.46,0.99984310038265
32.47,0.999842903898513
32.48,0.99984270683964
32.49,0.999842509214565
32.5,0.999842311031881
32.51,0.999842112300142
32.52,0.999841913027928
32.53,0.999841713223813
32.54,0.999841512896367
32.55,0.999841312054148
32.56,0.999841110705739
32.57,0.999840908859678
32.58,0.999840706524526
32.59,0.999840503708824
32.6,0.999840300421092
32.61,0.999840096669854
32.62,0.999839892463612
32.63,0.999839687810863
32.64,0.999839482720063
32.65,0.999839277199679
32.66,0.999839071258147
32.67,0.999838864903862
32.68,0.999838658145246
32.69,0.999838450990652
32.7,0.999838243448414
32.71,0.999838035526868
32.72,0.999837827234299
32.73,0.999837618578973
32.74,0.999837409569126
32.75,0.999837200212953
32.76,0.999836990518637
32.77,0.999836780494311
32.78,0.999836570148072
32.79,0.999836359488007
32.8,0.999836148522126
32.81,0.999835937258448
32.82,0.999835725704912
32.83,0.999835513869449
32.84,0.99983530175994
32.85,0.999835089384204
32.86,0.999834876750047
32.87,0.999834663865211
32.88,0.999834450737408
32.89,0.999834237374312
32.9,0.999834023783515
32.91,0.999833809972595
32.92,0.999833595949075
32.93,0.999833381720423
32.94,0.999833167294066
32.95,0.99983295267737
32.96,0.999832737877648
32.97,0.99983252290219
32.98,0.999832307758195
32.99,0.999832092452834
33,0.99983187699321
33.01,0.999831661386385
33.02,0.999831445639349
33.03,0.999831229759047
33.04,0.99983101375237
33.05,0.999830797626127
33.06,0.999830581387113
33.07,0.999830365042021
33.08,0.999830148597516
33.09,0.999829932060177
33.1,0.999829715436553
33.11,0.999829498733092
33.12,0.999829281956212
33.13,0.999829065112273
33.14,0.999828848207542
33.15,0.999828631248251
33.16,0.999828414240549
33.17,0.999828197190526
33.18,0.999827980104223
33.19,0.999827762987614
33.2,0.99982754584657
33.21,0.999827328686942
33.22,0.999827111514505
33.23,0.999826894334941
33.24,0.999826677153904
33.25,0.999826459976946
33.26,0.999826242809568
33.27,0.999826025657216
33.28,0.999825808525234
33.29,0.999825591418934
33.3,0.999825374343539
33.31,0.999825157304212
33.32,0.999824940306027
33.33,0.999824723354014
33.34,0.999824506453127
33.35,0.999824289608233
33.36,0.999824072824161
33.37,0.999823856105623
33.38,0.999823639457323
33.39,0.999823422883839
33.4,0.9998232063897
33.41,0.999822989979368
33.42,0.999822773657235
33.43,0.99982255742761
33.44,0.999822341294735
33.45,0.999822125262779
33.46,0.99982190933586
33.47,0.999821693518002
33.48,0.999821477813151
33.49,0.999821262225216
33.5,0.999821046757995
33.51,0.999820831415232
33.52,0.99982061620062
33.53,0.999820401117737
33.54,0.99982018617013
33.55,0.999819971361233
33.56,0.999819756694451
33.57,0.999819542173098
33.58,0.999819327800409
33.59,0.999819113579561
33.6,0.999818899513662
33.61,0.999818685605724
33.62,0.99981847185871
33.63,0.999818258275506
33.64,0.999818044858938
33.65,0.999817831611745
33.66,0.999817618536586
33.67,0.999817405636084
33.68,0.999817192912765
33.69,0.999816980369082
33.7,0.99981676800744
33.71,0.999816555830153
33.72,0.999816343839475
33.73,0.999816132037589
33.74,0.999815920426606
33.75,0.999815709008576
33.76,0.999815497785463
33.77,0.999815286759168
